SNR_dB,Opt_small,ZF_small,RZF_small,Opt_large+small,ZF_large+small,RZF_large+small
0.000000000000000000e+00,-3.181516914367675586e+00,-4.375354215640353317e+00,-2.096599360968683268e+00,-6.000000000000000000e+01,-1.378986954890055188e+02,-1.378866456562716678e+02
3.000000000000000000e+00,-2.075000000000000178e+00,-1.325114892917894416e+00,2.454267810749273804e-01,-6.000000000000000000e+01,-1.348608578408222058e+02,-1.348505114959454829e+02
6.000000000000000000e+00,-1.310798797607421795e+00,1.599518673909060995e+00,2.553218335709707354e+00,-6.000000000000000000e+01,-1.320692654598090030e+02,-1.320597298292248070e+02
9.000000000000000000e+00,-7.822961807250976562e-01,4.605526272776788943e+00,5.056191511513538295e+00,-6.000000000000000000e+01,-1.290014514804141754e+02,-1.289955727335143649e+02
1.200000000000000000e+01,-4.459549713134765558e-01,7.577965910137446137e+00,7.768842805879020652e+00,-6.000000000000000000e+01,-1.258769289143303070e+02,-1.258673246845750953e+02
1.500000000000000000e+01,-2.371443176269531217e-01,1.066269904381380229e+01,1.072353590589488448e+01,-6.000000000000000000e+01,-1.230293109059902861e+02,-1.230179009682911726e+02
1.800000000000000000e+01,-1.153212356567382829e-01,1.364023117281507247e+01,1.365441386598760865e+01,-6.000000000000000000e+01,-1.199981386125584493e+02,-1.199911677821199874e+02
2.100000000000000000e+01,-3.541847229003902697e-02,1.656431799624420620e+01,1.656776244383418728e+01,-6.000000000000000000e+01,-1.170383571448808482e+02,-1.170298276346260309e+02
2.400000000000000000e+01,2.616371154785172848e-02,1.964870753824257221e+01,1.965063153277149510e+01,-6.000000000000000000e+01,-1.142610917708886262e+02,-1.142537142040485918e+02
2.700000000000000000e+01,7.475521087646493090e-02,2.256805155976627475e+01,2.256709044340353998e+01,-6.000000000000000000e+01,-1.112006875016469962e+02,-1.111920189246636994e+02
3.000000000000000000e+01,1.185687637329102262e-01,2.565483237412427542e+01,2.565466797942968213e+01,-6.000000000000000000e+01,-1.080616300776626701e+02,-1.080543754529464167e+02
