snr_dB,opt_db,zf_db,rzf_db,ex_db
0,11.423903064049025,-2.941274510026558,-2.9410310210651707,7.422851231994464
3,14.347374827030837,-0.9970950357242386,-0.9968836660537335,10.420889352276445
6,17.387375519996635,0.29331453698769255,0.29355514568366214,13.438919365937085
9,20.390726323316176,1.4893526697370412,1.4897828239297,16.362698196112497
12,23.40726420399559,2.8066358618518144,2.807067250193225,19.501065082256755
15,26.39509483683217,3.6510004870484596,3.651720012800243,22.43208215873381
18,29.38884518360112,3.619595703367407,3.6203418588778797,25.324024842016414
21,32.364144318116885,4.013416611593877,4.013648056249693,28.43964819948279
24,35.36668976358594,3.707496540464973,3.708165715677491,31.345711541733742
27,38.357316290907626,4.15818850914472,4.158146767189153,34.51579954066148
30,41.369593937181335,4.560656828065566,4.561118818947724,37.41530737111361
