snr_dB,opt_db,zf_db,rzf_db
0,11.435442601327546,-2.7295229138039896,-2.7293687809254177
3,14.323339352090745,-0.7218031299760768,-0.7215394229434515
6,17.38877172914492,0.2629077634804885,0.2631528405387876
9,20.405790528687106,0.6334804986844793,0.6336416409364849
12,23.35251276954789,1.895294464699952,1.8956782786910618
15,26.32427103322314,2.186226999790734,2.1866864102919665
18,29.442637616867515,3.4208404398111583,3.4210869196212372
21,32.30385771260188,5.2710800492272005,5.271667162900849
24,35.45441949374647,4.006407531140692,4.006865807293574
27,38.269349245887845,3.3945975097494827,3.395688910224722
30,41.380768785130414,5.313293664265144,5.3132423892261285
