snr_dB,opt_small,zf_small,rzf_small,ex_small,opt_large,zf_large,rzf_large,ex_large
0,11.411272153325637,-2.449491494454171,-2.4492105325749765,7.604665060335115,-64.29904944454401,-81.4257901644933,-81.29088771965569,-70.32200952125943
3,14.482390908073864,-1.2774652337861694,-1.2771798799221088,10.370492570935834,-62.16276287080744,-79.90886526975518,-79.40142085827878,-69.188596361011
6,17.336038241757908,0.390981547687577,0.39116357982960115,13.278506221749968,-59.21827713760703,-77.01356857993969,-76.75419024339399,-65.09375511011781
9,20.335656509172523,1.5139310830357835,1.5142201812975777,16.440744879172765,-55.63324954681551,-73.33690977423622,-72.98124002332911,-62.00336226529782
12,23.361884629119363,3.4346631720035443,3.4351381077263383,19.40833657721938,-53.65886348092913,-71.14092868317042,-70.63415558029482,-59.675281415978496
15,26.294911627814763,2.7809700321134336,2.781416188909916,22.389649157805373,-50.527496668185094,-68.77666243732266,-68.80104009724745,-56.883061574169986
18,29.450135309543146,3.303085225113014,3.303714704114684,25.422545322483387,-46.791772706522856,-63.11964519109529,-62.934297812939576,-52.58129620162164
21,32.395034310366675,3.3821630167092427,3.383062739280338,28.405839040908628,-43.40233616408036,-60.67741060053262,-60.50448423136133,-49.13350615882503
24,35.442282105846076,3.0086374050611275,3.0092834992758104,31.299624966727553,-41.765312453022254,-58.61490814762569,-58.441509234207665,-47.65801837532966
27,38.36102638232438,4.646574880107044,4.648334361725078,34.48515593214032,-36.96804702722168,-53.692391286734164,-54.00818630557944,-43.1619075176323
30,41.39019706955877,3.9449627648002727,3.945363839981572,37.4928365139299,-34.16276713239679,-52.42556177256911,-52.29914319413405,-40.8340339667143
